Id,Labels
SA_TU_01,Not Tulu
SA_TU_02,Not Tulu
SA_TU_03,Not Tulu
SA_TU_04,Neutral
SA_TU_05,Neutral
SA_TU_06,Not Tulu
SA_TU_07,Not Tulu
SA_TU_08,Neutral
SA_TU_09,Positive
SA_TU_10,Positive
SA_TU_11,Not Tulu
SA_TU_12,Not Tulu
SA_TU_13,Not Tulu
SA_TU_14,Neutral
SA_TU_15,Neutral
SA_TU_16,Positive
SA_TU_17,Not Tulu
SA_TU_18,Neutral
SA_TU_19,Negative
SA_TU_20,Positive
SA_TU_21,Not Tulu
SA_TU_22,Not Tulu
SA_TU_23,Positive
SA_TU_24,Not Tulu
SA_TU_25,Positive
SA_TU_26,Positive
SA_TU_27,Not Tulu
SA_TU_28,Not Tulu
SA_TU_29,Positive
SA_TU_30,Positive
SA_TU_31,Not Tulu
SA_TU_32,Not Tulu
SA_TU_33,Neutral
SA_TU_34,Neutral
SA_TU_35,Not Tulu
SA_TU_36,Positive
SA_TU_37,Positive
SA_TU_38,Not Tulu
SA_TU_39,Negative
SA_TU_40,Not Tulu
SA_TU_41,Not Tulu
SA_TU_42,Positive
SA_TU_43,Negative
SA_TU_44,Not Tulu
SA_TU_45,Negative
SA_TU_46,Not Tulu
SA_TU_47,Positive
SA_TU_48,Not Tulu
SA_TU_49,Neutral
SA_TU_50,Positive
SA_TU_51,Not Tulu
SA_TU_52,Not Tulu
SA_TU_53,Neutral
SA_TU_54,Positive
SA_TU_55,Positive
SA_TU_56,Positive
SA_TU_57,Negative
SA_TU_58,Not Tulu
SA_TU_59,Not Tulu
SA_TU_60,Not Tulu
SA_TU_61,Positive
SA_TU_62,Not Tulu
SA_TU_63,Positive
SA_TU_64,Negative
SA_TU_65,Not Tulu
SA_TU_66,Not Tulu
SA_TU_67,Positive
SA_TU_68,Not Tulu
SA_TU_69,Neutral
SA_TU_70,Neutral
SA_TU_71,Not Tulu
SA_TU_72,Neutral
SA_TU_73,Positive
SA_TU_74,Neutral
SA_TU_75,Neutral
SA_TU_76,Not Tulu
SA_TU_77,Neutral
SA_TU_78,Not Tulu
SA_TU_79,Not Tulu
SA_TU_80,Positive
SA_TU_81,Neutral
SA_TU_82,Neutral
SA_TU_83,Not Tulu
SA_TU_84,Positive
SA_TU_85,Neutral
SA_TU_86,Positive
SA_TU_87,Not Tulu
SA_TU_88,Not Tulu
SA_TU_89,Positive
SA_TU_90,Mixed
SA_TU_91,Neutral
SA_TU_92,Mixed
SA_TU_93,Not Tulu
SA_TU_94,Neutral
SA_TU_95,Neutral
SA_TU_96,Positive
SA_TU_97,Neutral
SA_TU_98,Positive
SA_TU_99,Not Tulu
SA_TU_100,Not Tulu
SA_TU_101,Not Tulu
SA_TU_102,Not Tulu
SA_TU_103,Neutral
SA_TU_104,Not Tulu
SA_TU_105,Positive
SA_TU_106,Not Tulu
SA_TU_107,Positive
SA_TU_108,Not Tulu
SA_TU_109,Not Tulu
SA_TU_110,Positive
SA_TU_111,Positive
SA_TU_112,Neutral
SA_TU_113,Positive
SA_TU_114,Not Tulu
SA_TU_115,Neutral
SA_TU_116,Not Tulu
SA_TU_117,Positive
SA_TU_118,Neutral
SA_TU_119,Not Tulu
SA_TU_120,Neutral
SA_TU_121,Not Tulu
SA_TU_122,Mixed
SA_TU_123,Neutral
SA_TU_124,Positive
SA_TU_125,Not Tulu
SA_TU_126,Neutral
SA_TU_127,Not Tulu
SA_TU_128,Neutral
SA_TU_129,Neutral
SA_TU_130,Positive
SA_TU_131,Not Tulu
SA_TU_132,Neutral
SA_TU_133,Not Tulu
SA_TU_134,Neutral
SA_TU_135,Not Tulu
SA_TU_136,Not Tulu
SA_TU_137,Mixed
SA_TU_138,Not Tulu
SA_TU_139,Positive
SA_TU_140,Not Tulu
SA_TU_141,Neutral
SA_TU_142,Positive
SA_TU_143,Neutral
SA_TU_144,Not Tulu
SA_TU_145,Positive
SA_TU_146,Not Tulu
SA_TU_147,Neutral
SA_TU_148,Neutral
SA_TU_149,Neutral
SA_TU_150,Not Tulu
SA_TU_151,Not Tulu
SA_TU_152,Not Tulu
SA_TU_153,Positive
SA_TU_154,Positive
SA_TU_155,Not Tulu
SA_TU_156,Positive
SA_TU_157,Positive
SA_TU_158,Neutral
SA_TU_159,Not Tulu
SA_TU_160,Negative
SA_TU_161,Neutral
SA_TU_162,Positive
SA_TU_163,Positive
SA_TU_164,Neutral
SA_TU_165,Positive
SA_TU_166,Neutral
SA_TU_167,Neutral
SA_TU_168,Neutral
SA_TU_169,Positive
SA_TU_170,Mixed
SA_TU_171,Not Tulu
SA_TU_172,Not Tulu
SA_TU_173,Neutral
SA_TU_174,Neutral
SA_TU_175,Positive
SA_TU_176,Negative
SA_TU_177,Positive
SA_TU_178,Positive
SA_TU_179,Mixed
SA_TU_180,Not Tulu
SA_TU_181,Neutral
SA_TU_182,Neutral
SA_TU_183,Positive
SA_TU_184,Not Tulu
SA_TU_185,Negative
SA_TU_186,Neutral
SA_TU_187,Neutral
SA_TU_189,Not Tulu
SA_TU_190,Not Tulu
SA_TU_191,Positive
SA_TU_192,Not Tulu
SA_TU_193,Positive
SA_TU_194,Neutral
SA_TU_195,Positive
SA_TU_196,Not Tulu
SA_TU_197,Not Tulu
SA_TU_198,Not Tulu
SA_TU_199,Not Tulu
SA_TU_200,Mixed
SA_TU_201,Positive
SA_TU_202,Not Tulu
SA_TU_203,Not Tulu
SA_TU_204,Neutral
SA_TU_205,Positive
SA_TU_206,Negative
SA_TU_207,Not Tulu
SA_TU_208,Neutral
SA_TU_209,Positive
SA_TU_210,Positive
SA_TU_211,Not Tulu
SA_TU_212,Positive
SA_TU_213,Neutral
SA_TU_214,Positive
SA_TU_215,Not Tulu
SA_TU_216,Positive
SA_TU_217,Positive
SA_TU_218,Positive
SA_TU_219,Neutral
SA_TU_220,Not Tulu
SA_TU_221,Not Tulu
SA_TU_222,Positive
SA_TU_223,Not Tulu
SA_TU_224,Positive
SA_TU_225,Not Tulu
SA_TU_226,Not Tulu
SA_TU_227,Positive
SA_TU_228,Positive
SA_TU_229,Not Tulu
SA_TU_230,Positive
SA_TU_231,Not Tulu
SA_TU_232,Not Tulu
SA_TU_233,Not Tulu
SA_TU_234,Negative
SA_TU_235,Neutral
SA_TU_236,Neutral
SA_TU_237,Not Tulu
SA_TU_238,Not Tulu
SA_TU_239,Positive
SA_TU_240,Neutral
SA_TU_241,Positive
SA_TU_242,Neutral
SA_TU_243,Not Tulu
SA_TU_244,Not Tulu
SA_TU_245,Mixed
SA_TU_246,Neutral
SA_TU_247,Positive
SA_TU_248,Not Tulu
SA_TU_249,Positive
SA_TU_250,Not Tulu
SA_TU_251,Not Tulu
SA_TU_252,Positive
SA_TU_253,Not Tulu
SA_TU_254,Positive
SA_TU_255,Not Tulu
SA_TU_256,Not Tulu
SA_TU_257,Not Tulu
SA_TU_258,Not Tulu
SA_TU_259,Positive
SA_TU_260,Positive
SA_TU_261,Positive
SA_TU_262,Neutral
SA_TU_263,Mixed
SA_TU_264,Positive
SA_TU_265,Neutral
SA_TU_266,Negative
SA_TU_267,Neutral
SA_TU_268,Positive
SA_TU_269,Negative
SA_TU_270,Positive
SA_TU_271,Positive
SA_TU_272,Not Tulu
SA_TU_273,Not Tulu
SA_TU_274,Not Tulu
SA_TU_275,Not Tulu
SA_TU_276,Positive
SA_TU_277,Neutral
SA_TU_278,Not Tulu
SA_TU_279,Not Tulu
SA_TU_280,Not Tulu
SA_TU_281,Neutral
SA_TU_282,Not Tulu
SA_TU_283,Positive
SA_TU_284,Positive
SA_TU_285,Neutral
SA_TU_286,Not Tulu
SA_TU_287,Not Tulu
SA_TU_288,Neutral
SA_TU_289,Mixed
SA_TU_290,Neutral
SA_TU_291,Not Tulu
SA_TU_292,Neutral
SA_TU_293,Positive
SA_TU_294,Positive
SA_TU_295,Not Tulu
SA_TU_296,Not Tulu
SA_TU_297,Mixed
SA_TU_298,Not Tulu
SA_TU_299,Neutral
SA_TU_300,Negative
SA_TU_301,Mixed
SA_TU_302,Not Tulu
SA_TU_303,Neutral
SA_TU_304,Neutral
SA_TU_305,Not Tulu
SA_TU_306,Positive
SA_TU_307,Neutral
SA_TU_308,Neutral
SA_TU_309,Neutral
SA_TU_310,Neutral
SA_TU_311,Not Tulu
SA_TU_312,Not Tulu
SA_TU_313,Not Tulu
SA_TU_314,Not Tulu
SA_TU_315,Positive
SA_TU_316,Neutral
SA_TU_317,Mixed
SA_TU_318,Not Tulu
SA_TU_319,Positive
SA_TU_320,Not Tulu
SA_TU_321,Not Tulu
SA_TU_322,Neutral
SA_TU_323,Positive
SA_TU_324,Not Tulu
SA_TU_325,Not Tulu
SA_TU_326,Positive
SA_TU_327,Not Tulu
SA_TU_328,Positive
SA_TU_329,Not Tulu
SA_TU_330,Positive
SA_TU_331,Positive
SA_TU_332,Positive
SA_TU_333,Not Tulu
SA_TU_334,Neutral
SA_TU_335,Neutral
SA_TU_336,Neutral
SA_TU_337,Not Tulu
SA_TU_338,Positive
SA_TU_339,Not Tulu
SA_TU_340,Neutral
SA_TU_341,Positive
SA_TU_342,Not Tulu
SA_TU_343,Not Tulu
SA_TU_344,Neutral
SA_TU_345,Not Tulu
SA_TU_346,Neutral
SA_TU_347,Positive
SA_TU_348,Neutral
SA_TU_349,Not Tulu
SA_TU_350,Not Tulu
SA_TU_351,Positive
SA_TU_352,Positive
SA_TU_353,Not Tulu
SA_TU_354,Not Tulu
SA_TU_355,Mixed
SA_TU_356,Positive
SA_TU_357,Not Tulu
SA_TU_358,Neutral
SA_TU_359,Not Tulu
SA_TU_360,Not Tulu
SA_TU_361,Positive
SA_TU_362,Not Tulu
SA_TU_363,Not Tulu
SA_TU_364,Neutral
SA_TU_365,Positive
SA_TU_366,Not Tulu
SA_TU_367,Not Tulu
SA_TU_368,Positive
SA_TU_369,Not Tulu
SA_TU_370,Not Tulu
SA_TU_371,Positive
SA_TU_372,Not Tulu
SA_TU_373,Neutral
SA_TU_374,Positive
SA_TU_375,Neutral
SA_TU_376,Not Tulu
SA_TU_377,Not Tulu
SA_TU_378,Positive
SA_TU_379,Neutral
SA_TU_380,Not Tulu
SA_TU_381,Positive
SA_TU_382,Not Tulu
SA_TU_383,Not Tulu
SA_TU_384,Not Tulu
SA_TU_385,Not Tulu
SA_TU_386,Positive
SA_TU_387,Positive
SA_TU_388,Neutral
SA_TU_389,Neutral
SA_TU_390,Positive
SA_TU_391,Neutral
SA_TU_392,Neutral
SA_TU_393,Positive
SA_TU_394,Positive
SA_TU_395,Neutral
SA_TU_396,Not Tulu
SA_TU_397,Not Tulu
SA_TU_398,Positive
SA_TU_399,Neutral
SA_TU_400,Not Tulu
SA_TU_401,Positive
SA_TU_402,Positive
SA_TU_403,Positive
SA_TU_404,Not Tulu
SA_TU_405,Neutral
SA_TU_406,Not Tulu
SA_TU_408,Not Tulu
SA_TU_409,Mixed
SA_TU_410,Positive
SA_TU_411,Positive
SA_TU_412,Positive
SA_TU_413,Not Tulu
SA_TU_414,Not Tulu
SA_TU_415,Positive
SA_TU_416,Not Tulu
SA_TU_417,Not Tulu
SA_TU_418,Positive
SA_TU_419,Neutral
SA_TU_420,Positive
SA_TU_421,Positive
SA_TU_422,Not Tulu
SA_TU_423,Positive
SA_TU_424,Not Tulu
SA_TU_425,Neutral
SA_TU_426,Neutral
